(0, 51)
(0, 52)
(0, 53)
(0, 54)
(0, 55)
(0, 56)
(0, 57)
(0, 58)
(0, 59)
(0, 60)
(0, 61)
(0, 62)
(0, 63)
(0, 64)
(0, 65)
(0, 66)
(0, 67)
(0, 66)
(0, 65)
(0, 64)
(0, 63)
(0, 62)
(0, 61)
(0, 60)
(0, 59)
(0, 58)
(0, 57)
(0, 56)
(0, 55)
(0, 54)
(1, 54)
(2, 54)
(3, 54)
(4, 54)
(5, 54)
(6, 54)
(7, 54)
(8, 54)
(9, 54)
(10, 54)
(11, 54)
(12, 54)
(13, 54)
(14, 54)
(15, 54)
(16, 54)
(17, 54)
(18, 54)
(19, 54)
(19, 53)
(19, 52)
(19, 51)
(19, 50)
From A to D
(130, 0)
(130, 1)
(130, 2)
(130, 3)
(130, 4)
(130, 5)
(130, 6)
(130, 7)
(131, 7)
(131, 6)
(131, 5)
(131, 4)
(131, 3)
(131, 2)
(130, 2)
(129, 2)
(128, 2)
(129, 2)
(130, 2)
(131, 2)
(132, 2)
(133, 2)
(134, 2)
(135, 2)
(136, 2)
(137, 2)
(138, 2)
(138, 3)
(138, 4)
(138, 5)
(138, 6)
(138, 7)
(138, 8)
(138, 9)
(138, 10)
(138, 11)
(138, 12)
(138, 13)
(138, 14)
(138, 15)
(138, 16)
(138, 17)
(138, 18)
(138, 19)
(138, 20)
(138, 21)
(137, 21)
(136, 21)
(135, 21)
(134, 21)
(133, 21)
(132, 21)
(131, 21)
(130, 21)
(130, 22)
(130, 23)
(130, 24)
(130, 25)
(130, 26)
(130, 27)
(130, 28)
(130, 29)
(130, 30)
(130, 31)
(130, 32)
(130, 33)
(129, 33)
(129, 32)
(128, 32)
(127, 32)
(126, 32)
(125, 32)
(124, 32)
(123, 32)
(122, 32)
(121, 32)
(120, 32)
(119, 32)
(118, 32)
(117, 32)
(116, 32)
(115, 32)
(114, 32)
(113, 32)
(112, 32)
(111, 32)
(110, 32)
(109, 32)
(108, 32)
(107, 32)
(107, 31)
(107, 30)
(106, 30)
(105, 30)
(104, 30)
(103, 30)
(102, 30)
(101, 30)
(100, 30)
From D to C
(80, 50)
(80, 51)
(80, 52)
(80, 53)
(80, 54)
(80, 55)
(80, 56)
(80, 57)
(80, 58)
(80, 59)
(80, 60)
(79, 60)
(78, 60)
(77, 60)
(76, 60)
(77, 60)
(78, 60)
(79, 60)
(80, 60)
(81, 60)
(82, 60)
(83, 60)
(83, 61)
